Position ,Artist,Song Title
1,Wilson Phillips,Hold On
2,Roxette,It Must Have Been Love
3,Sinead O'Connor,Nothing Compares 2 U
4,Bell Biv Devoe,Poison
5,Madonna,Vogue
6,Mariah Carey,Vision Of Love
7,Phil Collins,Another Day In Paradise
8,En Vogue,Hold On
9,Billy Idol,Cradle Of Love
10,Jon Bon Jovi,Blaze Of Glory
11,Bell Biv Devoe,Do Me!
12,Michael Bolton,How Am I Supposed To Live Without You
13,Technotronic,Pump Up The Jam
14,Paula Abdul,Opposites Attract
15,Janet Jackson,Escapade
16,Heart,All I Wanna Do Is Make Love To You
17,Maxi Priest,Close To You
18,Alannah Myles,Black Velvet
19,Wilson Phillips,Release Me
20,Linda Ronstadt and Aaron Neville,Don't Know Much
21,Lisa Stansfield,All Around The World
22,Calloway,I Wanna Be Rich
23,Johnny Gill,Rub You The Right Way
24,Glenn Medeiros feat. Bobby Brown,She Ain't Worth It
25,Sweet Sensation,If Wishes Came True
26,Snap,The Power
27,Nelson,(Can't Live Without Your) Love And Affection
28,Taylor Dayne,Love Will Lead You Back
29,Jane Child,Don't Wanna Fall In Love
30,Seduction,Two To Make It Right
31,Linear,Sending All My Love
32,Poison,Unskinny Bop
33,New Kids On The Block,Step By Step
34,Roxette,Dangerous
35,Billy Joel,We Didn't Start The Fire
36,James Ingram,I Don't Have The Heart
37,Rod Stewart,Downtown Train
38,Janet Jackson,Rhythm Nation
39,Tommy Page,I'll Be Your Everything
40,B-52's,Roam
41,Jody Watley,Everything
42,Soul II Soul,Back to Life (However Do You Want Me)
43,Luther Vandross,Here And Now
44,Janet Jackson,Alright
45,Vanilla Ice,Ice Ice Baby
46,Milli Vanilli,Blame It On The Rain
47,M.C. Hammer,Have You Seen Her
48,Taylor Dayne,With Every Beat Of My Heart
49,Janet Jackson,Come Back To Me
50,Michel'le,No More Lies
51,George Michael,Praying For Time
52,Michael Bolton,How Can We Be Lovers
53,Phil Collins,Do You Remember
54,After 7,Ready Or Not
55,M.C. Hammer,U Can't Touch This
56,Phil Collins,I Wish It Would Rain Down
57,Lou Gramm,Just Between You And Me
58,Phil Collins,Something Happened On The Way To Heaven
59,Janet Jackson,Black Cat
60,After 7,Can't Stop
61,Aerosmith,Janie's Got A Gun
62,Digital Underground,The Humpty Dance
63,Taylor Dayne,I'll Be Your Shelter
64,Tom Petty,Free Fallin'
65,Pebbles,Giving You The Benefit
66,Depeche Mode,Enjoy The Silence
67,Tesla,Love Song
68,Bad English,Price Of Love
69,Tyler Collins,Girls Nite Out
70,Go West,King Of Wishful Thinking
71,Chicago,What Kind Of Man Would I Be?
72,Skid Row,I Remember You
73,Technotronic,Get Up! (Before The Night Is Over)
74,Gloria Estefan,Here We Are
75,Faith No More,Epic
76,Mariah Carey,Love Takes Time
77,Cher,Just Like Jesse James
78,B-52s,Love Shack
79,Milli Vanilli,All Or Nothing
80,Dino,Romeo
81,Black Box,Everybody Everybody
82,Billy Joel,I Go To Extremes
83,Babyface,Whip Appeal
84,Paul Young,Oh Girl
85,D-Mob With Cathy Dennis,C'mon And Get My Love
86,Paula Abdul,(It's Just) The Way That You Love Me
87,Cover Girls,We Can't Go Wrong
88,Michael Bolton,When I'm Back On My Feet Again
89,Keith Sweat,Make You Sweat
90,New Kids On The Block,This One's For The Children
91,Aerosmith,What It Takes
92,Kiss,Forever
93,Time,Jerk Out
94,Biz Markie,Just A Friend
95,A'me Lorain,Whole Wide World
96,Motley Crue,Without You
97,Jive Bunny and The Master Mixers,Swing The Mood
98,Prince,Thieves In The Temple
99,Mellow Man Ace,Mentirosa
100,Kyper,Tic-Tac-Toe
