Position ,Artist,Song Title
1,Bryan Adams,(Everything I Do) I Do It For You
2,Color Me Badd,I Wanna Sex You Up
3,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now)
4,Paula Abdul,Rush Rush
5,Timmy T,One More Try
6,EMF,Unbelievable
7,Extreme,More Than Words
8,Hi-Five,I Like The Way (The Kissing Game)
9,Surface,The First Time
10,Amy Grant,"Baby, Baby"
11,Boyz II Men,Motownphilly
12,Stevie B,Because I Love You (The Postman Song)
13,Mariah Carey,Someday
14,Damn Yankees,High Enough
15,Bette Midler,From A Distance
16,Whitney Houston,All The Man That I Need
17,Jesus Jones,"Right Here, Right Now"
18,Color Me Badd,I Adore Mi Amor
19,Janet Jackson,Love Will Never Do (Without You)
20,Marky Mark and The Funky Bunch feat. Loleatta Holloway,Good Vibrations
21,Madonna,Justify My Love
22,Mariah Carey,Emotions
23,Roxette,Joyride
24,Karyn White,Romantic
25,Tara Kemp,Hold You Tight
26,Mariah Carey,I Don't Wanna Cry
27,Wilson Phillips,You're In Love
28,Amy Grant,Every Heartbeat
29,Ralph Tresvant,Sensitivity
30,Cathy Dennis,Touch Me (All Night Long)
31,Londonbeat,I've Been Thinking About You
32,Natural Selection,Do Anything
33,R.E.M.,Losing My Religion
34,Gloria Estefan,Coming Out Of The Dark
35,Lenny Kravitz,It Ain't Over 'Til It's Over
36,C+C Music Factory,Here We Go
37,Celine Dion,Where Does My Heart Beat Now
38,D.J. Jazzy Jeff and The Fresh Prince,Summertime
39,Scorpions,Wind Of Change
40,Rhythm Syndicate,P.A.S.S.I.O.N.
41,Paula Abdul,The Promise Of A New Day
42,Whitney Houston,I'm Your Baby Tonight
43,Firehouse,Love Of A Lifetime
44,Roxette,Fading Like A Flower (Every Time You Leave)
45,Tracie Spencer,This House
46,Extreme,Hole Hearted
47,Luther Vandross,Power Of Love (Love Power)
48,Wilson Phillips,Impulsive
49,Michael Bolton,Love Is A Wonderful Thing
50,Rod Stewart,Rhythm Of My Heart
51,C+C Music Factory,Things That Make You Go Hmmmm...
52,Divinyls,I Touch Myself
53,DMA,Tom's Diner
54,Another Bad Creation,Iesha
55,Bonnie Raitt,Something To Talk About
56,Nelson,After The Rain
57,Vanilla Ice,Play That Funky Music
58,Corina,Temptation
59,Bryan Adams,Can't Stop This Thing We Started
60,Hi-Five,I Can't Wait Another Minute
61,KLF,3 A.M. Eternal
62,Michael Bolton,"Time, Love And Tenderness"
63,Enigrna,Saideness Part I
64,LL Cool J,Around The Way Girl
65,Escape Club,I'll Be There
66,Prince And The N.P.G.,Cream
67,Heavy D. and The Boyz,Now That We Found Love
68,Styx,Show Me The Way
69,Mariah Carey,Love Takes Time
70,Rick Astley,Cry For Help
71,UB40,The Way You Do The Things You Do
72,UB40,Here I Am (Come And Take Me)
73,Tesla,Signs
74,Cathy Dennis,Too Many Walls
75,Seal,Crazy
76,Keith Sweat,I'll Give All My Love To You
77,Michael W. Smith,Place In This World
78,Poison,Something To Believe In
79,Chris Issak,Wicked Game
80,Oleta Adams,Get Here
81,Tevin Campbell,Round And Round
82,Queensryche,Silent Lucidity
83,Will To Power,I'm Not In Love
84,Tara Kemp,Piece Of My Heart
85,Jesus Jones,Real Real Real
86,Cathy Dennis,Just Another Dream
87,Aaron Neville,Everybody Plays The Fool
88,Black Box,Strike It Up
89,Gerardo,Rico Suave
90,INXS,Disappear
91,Deee-Lite,Groove Is In The Heart
92,Sting,All This Time
93,Chesney Hawkes,The One And Only
94,Naughty By Nature,O.P.P.
95,George Michael,Freedom 90
96,Warrant,I Saw Red
97,Winger,Miles Away
98,Salt-N-Pepa,Do You Want Me
99,Rod Stewart,The Motown Song
100,R.E.M.,Shiny Happy People
