Position ,Artist,Song Title
1,Three Dog Night,Joy To The World
2,Rod Stewart,Maggie May / (Find A) Reason To Believe
3,Carole King,It's Too Late / I Feel The Earth Move
4,Osmonds,One Bad Apple
5,Bee Gees,How Can You Mend A Broken Heart
6,Raiders,Indian Reservation
7,Donny Osmond,Go Away Little Girl
8,John Denver,"Take Me Home, Country Roads"
9,Temptations,Just My Imagination (Running Away With Me)
10,Dawn,Knock Three Times
11,Janis Joplin,Me And Bobby McGee
12,Al Green,Tired Of Being Alone
13,Honey Cone,Want Ads
14,Undisputed Truth,Smiling Faces Sometimes
15,Cornelius Brothers and Sister Rose,Treat Her Like A Lady
16,Rolling Stones,Brown Sugar
17,James Taylor,You've Got A Friend
18,Jean Knight,Mr. Big Stuff
19,Lee Michaels,Do You Know What I Mean
20,Joan Baez,The Night They Drove Old Dixie Down
21,Marvin Gaye,What's Going On
22,Paul and Linda McCartney,Uncle Albert-Admiral Halsey
23,Bill Withers,Ain't No Sunshine
24,Five Man Electrical Band,Signs
25,Tom Jones,She's A Lady
26,Free Movement,I Found Someone Of My Own
27,Murray Head and The Trinidad Singers,Superstar
28,Jerry Reed,Amos Moses
29,Grass Roots,Temptation Eyes
30,Carpenters,Superstar
31,George Harrison,My Sweet Lord / Isn't It A Pity
32,Donny Osmond,Sweet And Innocent
33,Ocean,Put Your Hand In The Hand
34,Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It)
35,Carpenters,For All We Know
36,Gordon Lightfoot,If You Could Read My Mind
37,Sammi Smith,Help Me Make It Through The Night
38,Carpenters,Rainy Days And Mondays
39,Cher,"Gypsy, Tramps And Thieves"
40,Jackson 5,Never Can Say Goodbye
41,Lynn Anderson,Rose Garden
42,"Hamilton, Joe Frank and Reynolds",Don't Pull Your Love
43,Ringo Starr,It Don't Come Easy
44,Nitty Gritty Dirt Band,Mr. Bojangles
45,Fuzz,I Love You For All Seasons
46,Dramatics,Whatcha See Is Whatcha Get
47,Carly Simon,That's The Way I've Always Heard It Should Be
48,Stevie Wonder,If You Really Love Me
49,Aretha Franklin,Spanish Harlem
50,Helen Reddy,I Don't Know How To Love Him
51,Osmonds,Yo-yo
52,Aretha Franklin,Bridge Over Troubled Water
53,Partridge Family,Doesn't Somebody Want To Be Wanted
54,Tommy James,Draggin' The Line
55,Ike and Tina Turner,Proud Mary
56,Chicago,Beginnings / Color My World
57,Bells,Stay Awhile
58,Stampeders,Sweet City Woman
59,Lobo,Me And You And A Dog Named Boo
60,Paul McCartney,"Another Day / Oh Woman, Oh Why"
61,Bread,If
62,Marvin Gaye,Mercy Mercy Me (The Ecology)
63,Brewer and Shipley,One Toke Over The Line
64,8th Day,She's Not Just Another Woman
65,Freda Payne,Bring The Boys Home
66,Rare Earth,I Just Want To Celebrate
67,Delaney and Bonnie and Friends,Never Ending Song Of Love
68,Freddy Hart,Easy Loving
69,Three Dog Night,Liar
70,Honey Cone,Stick-up
71,Mac and Katie Kissoon,Chirpy Chirpy Cheep Cheep
72,Andy Williams,Love Story (Where Do I Begin)
73,Cat Stevens,Wild World
74,Jerry Reed,"When You're Hot, You're Hot"
75,Beginning Of The End,Funky Nassau
76,Olivia Newton-John,If Not For You
77,King Floyd,Groove Me
78,Bobby Goldsboro,Watching Scotty Grow
79,Matthews' Southern Comfort,Woodstock
80,Judy Collins,Amazing Grace
81,Dave Edmunds,I Hear You Knocking
82,Bee Gees,Lonely Days
83,Fortunes,Here Comes That Rainy Day Feeling Again
84,Who,Won't Get Fooled Again
85,Denise Lasalle,Trapped By A Thing Called Love
86,Jackson 5,Mama's Pearl
87,Buoys,Timothy
88,Partridge Family,I Woke Up In Love This Morning
89,Isaac Hayes,"Theme From ""Shaft"""
90,Gladys Knight and The Pips,If I Were Your Woman
91,Neil Diamond,I Am..I Said
92,Paul Stookey,Wedding Song (There Is Love)
93,Wilson Pickett,"Don't Knock My Love, Pt. 1"
94,Doors,Love Her Madly
95,Richie Havens,Here Comes The Sun
96,Wadsworth Mansion,Sweet Mary
97,Brenda and The Tabulations,Right On The Tip Of My Tongue
98,Fifth Dimension,One Less Bell To Answer
99,Doors,Riders On The Storm
100,Perry Como,It's Impossible
