Position ,Artist,Song Title
1,Black Eyed Peas,Boom Boom Pow
2,Lady Gaga,Poker Face
3,Lady Gaga feat. Colby O'Donis,Just Dance
4,Black Eyed Peas,I Gotta Feeling
5,Taylor Swift,Love Story
6,Flo Rida,Right Round
7,Jason Mraz,I'm Yours
8,Beyonce,Single Ladies (Put A Ring On It)
9,Kanye West,Heartless
10,All-American Rejects,Gives You Hell
11,Taylor Swift,You Belong With Me
12,T.I. feat. Justin Timberlake,Dead And Gone
13,Fray,You Found Me
14,Kings Of Leon,Use Somebody
15,Keri Hilson feat. Kanye West and Ne-Yo,Knock You Down
16,Jamie Foxx feat. T-Pain,Blame It
17,Pitbull,I Know You Want Me (Calle Ocho)
18,T.I. feat. Rihanna,Live Your Life
19,Soulja Boy Tell 'em feat. Sammie,Kiss Me Thru The Phone
20,Jay Sean feat. Lil Wayne,Down
21,Miley Cyrus,The Climb
22,Drake,Best I Ever Had
23,Kelly Clarkson,My Life Would Suck Without You
24,Beyonce,Halo
25,Katy Perry,Hot n Cold
26,Shinedown,Second Chance
27,Britney Spears,Circus
28,Kid Cudi,Day 'n' Nite
29,Miley Cyrus,Party in the U.S.A.
30,3OH!3,Don't Trust Me
31,"Jay-Z, Rihanna and Kanye West",Run This Town
32,Kevin Rudolf feat. Lil Wayne,Let It Rock
33,Sean Kingston,Fire Burning
34,Jason DeRulo,Whatcha Say
35,Lady Gaga,Lovegame
36,Katy Perry,Waking Up In Vegas
37,Jeremih,Birthday Sex
38,Pink,Sober
39,Britney Spears,Womanizer
40,T.I.,Whatever You Like
41,Mariah Carey,Obsessed
42,Ne-Yo,Mad
43,Cobra Starship feat. Leighton Meester,Good Girls Go Bad
44,Kanye West,Love Lockdown
45,Pink,So What
46,Pitbull,Hotel Room Service
47,"Eminem, Dr. Dre and 50 Cent",Crack A Bottle
48,Beyonce,If I Were A Boy
49,Keri Hilson feat. Lil Wayne,Turning Me On
50,Pussycat Dolls,I Hate This Part
51,Nickelback,Gotta Be Somebody
52,Pink,Please Don't Leave Me
53,Lady Gaga,Paparazzi
54,Akon feat. Colby O'Donis and Kardinal Offishall,Beautiful
55,Coldplay,Viva la Vida
56,Akon,Right Now (Na Na Na)
57,Jordin Sparks,Battlefield
58,Flo Rida feat. Wynter,Sugar
59,Ne-Yo,Miss Independent
60,Owl City,Fireflies
61,Linkin Park,New Divide
62,Jay-Z + Alicia Keys,Empire State Of Mind
63,Daughtry,No Surprise
64,Shakira,She Wolf
65,Mario feat. Gucci Mane and Sean Garrett,Break Up
66,Beyonce,Sweet Dreams
67,Young Money,Every Girl
68,Colbie Caillat,Fallin' For You
69,Veronicas,Untouched
70,Nickelback,If Today Was Your Last Day
71,Fabolous feat. The-Dream,Throw It In The Bag
72,Boys Like Girls,Love Drunk
73,Asher Roth,I Love College
74,Britney Spears,If U Seek Amy
75,Jason Aldean,Big Green Tractor
76,Taylor Swift,White Horse
77,Rihanna,Disturbia
78,Green Day,21 Guns
79,Soulja Boy Tell'em,Turn My Swag On
80,The-Dream,Rockin' That Thang
81,Zac Brown Band,Chicken Fried
82,Beyonce,Diva
83,Iyaz,Replay
84,Brad Paisley,Then
85,Rob Thomas,Her Diamonds
86,Jesse McCartney feat. Ludacris,How Do You Sleep?
87,Britney Spears,3
88,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever
89,Justin Bieber,One Time
90,Lady Antebellum,I Run To You
91,Kelly Clarkson,I Do Not Hook Up
92,John Legend feat. Andre 3000,Green Light
93,Billy Currington,People Are Crazy
94,Zac Brown Band,Whatever It Is
95,Kelly Clarkson,Already Gone
96,Kristinia DeBarge,Goodbye
97,Michael Franti and Spearhead feat. Cherine Anderson,Say Hey (I Love You)
98,Jim Jones and Ron Browz feat. Juelz Santana,Pop Champagne
99,Maxwell,Pretty Wings
100,Fray,Never Say Never
