Position ,Artist,Song Title
1,Faith Hill,Breathe
2,Santana feat. Rob Thomas,Smooth
3,Santana feat. The Product GandB,Maria Maria
4,Joe,I Wanna Know
5,Vertical Horizon,Everything You Want
6,Destiny's Child,Say My Name
7,Savage Garden,I Knew I Loved You
8,Lonestar,Amazed
9,matchbox twenty,Bent
10,Toni Braxton,He Wasn't Man Enough
11,Creed,Higher
12,Aaliyah,Try Again
13,Destiny's Child,Jumpin Jumpin'
14,Sisqo,Thong Song
15,3 Doors Down,Kryptonite
16,Pink,There You Go
17,Madonna,Music
18,Janet,Doesn't Really Matter
19,Christina Aguilera,What A Girl Wants
20,Brian McKnight,Back At One
21,'N Sync,Bye Bye Bye
22,Marc Anthony,You Sang To Me
23,Marc Anthony,I Need To Know
24,Montell Jordan,Get It On Tonite
25,Sisqo,Incomplete
26,Macy Gray,I Try
27,'N Sync,It's Gonna Be Me
28,Celine Dion,That's The Way It Is
29,Nelly,(Hot S**T) Country Grammar
30,Blaque,Bring It All To Me
31,Backstreet Boys,Show Me The Meaning Of Being Lonely
32,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz
33,BBMak,Back Here
34,Sonique,It Feels So Good
35,Nine Days,Absolutely (Story Of A Girl)
36,Creed,With Arms Wide Open
37,Enrique Iglesias,Be With You
38,Christina Aguilera,Come On Over Baby (All I Want Is You)
39,Ruff Endz,No More
40,Blink 182,All The Small Things
41,Faith Hill,The Way You Love Me
42,Christina Aguilera,I Turn To You
43,Third Eye Blind,Never Let You Go
44,LeAnn Rimes,I Need You
45,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You
46,Jagged Edge,Let's Get Married
47,Whitney Houston,My Love Is Your Love
48,Smash Mouth,Then The Morning Comes
49,Eiffel 65,Blue (Da Ba Dee)
50,Sting feat. Cheb Mami,Desert Rose
51,Eminem,The Real Slim Shady
52,Pink,Most Girls
53,Next,Wifey
54,Everclear,Wonderful
55,Britney Spears,Oops!... I Did It Again
56,Jessica Simpson,I Wanna Love You Forever
57,98 Degrees,Give Me Just One Night (Una Noche )
58,Filter,Take A Picture
59,Red Hot Chili Peppers,Otherside
60,Jay-Z feat. UGK,Big Pimpin'
61,Son By Four,Purest Of Pain (A Puro Dolor)
62,Jagged Edge,He Can't Love U
63,Avant,Separated
64,Carl Thomas,I Wish
65,Donell Jones,U Know What's Up
66,soulDecision feat. Thrust,Faded
67,Kid Rock,Only God Knows Why
68,Mystikal,Shake Ya Ass
69,Erykah Badu,Bag Lady
70,Train,Meet Virginia
71,DMX,Party Up (Up In Here)
72,Mya,Case Of The Ex (Whatcha Gonna Do)
73,Dr. Dre feat. Eminem,Forget About Dre
74,Jo Dee Messina,That's The Way
75,Westlife,Swear It Again
76,Dr. Dre feat. Snoop Dogg,The Next Episode
77,Britney Spears,From The Bottom Of My Broken Heart
78,Savage Garden,Crash And Burn
79,Chad Brock,Yes!
80,George Strait,The Best Day
81,Donell Jones,Where I Wanna Be
82,Toby Keith,How Do You Like Me Now?!
83,Tim McGraw,My Best Friend
84,Goo Goo Dolls,Broadway
85,Da Brat feat. Tyrese,What'chu Like
86,Kandi,Don't Think I'm Not
87,Lee Ann Womack and Sons Of The Desert,I Hope You Dance
88,Alice Deejay,Better Off Alone
89,Debelah Morgan,Dance With Me
90,Lonestar,What About Now
91,Sammie,I Like It
92,Kevon Edmonds,24/7
93,LFO,Girl On TV
94,Lil Bow Wow feat. Xscape,Bounce With Me
95,Dixie Chicks,Cowboy Take Me Away
96,Aaliyah,I Don't Wanna
97,Destiny's Child,Independent Women Part I
98,Samantha Mumba,Gotta Tell You
99,Jennifer Lopez,Waiting For Tonight
100,Mary Mary,Shackles (Praise You)
