Position,Artist,Song Title
1,Perez Prado,Cherry Pink And Apple Blossom White
2,Bill Haley and His Comets,Rock Around The Clock
3,Mitch Miller,The Yellow Rose Of Texas
4,Roger Williams,Autumn Leaves
5,Les Baxter,Unchained Melody
6,Bill Hayes,The Ballad Of Davy Crockett
7,Four Aces,Love Is A Many Splendored Thing
8,McGuire Sisters,Sincerely
9,Pat Boone,Ain't That A Shame
10,Georgia Gibbs,Dance With Me Henry
11,Crazy Otto,Crazy Otto Medley I and II
12,Billy Vaughn,Melody Of Love
13,Tennessee Ernie Ford,Sixteen Tons
14,Frank Sinatra,Learnin' The Blues
15,Fontaine Sisters,Hearts Of Stone
16,Georgia Gibbs,Tweedle Dee
17,Four Lads,Moments To Remember
18,Chordettes,Mr. Sandman
19,Joan Weber,Let Me Go Lover
20,Nat King Cole,A Blossom Fell
21,Al Hibbler,Unchained Melody
22,Fess Parker,The Ballad Of Davy Crockett
23,Art Mooney,Honey Babe
24,Tennessee Ernie Ford,The Ballad Of Davy Crockett
25,Perry Como,Ko Ko Mo
26,Gisele Mackenzie,Hard To Get
27,Ames Brothers,The Naughty Lady Of Shady Lane
28,Jaye P. Morgan,That's All I Want From You
29,Platters,Only You
30,Somethin' Smith and The Redheads,It's A Sin To Tell A Lie
