Position,Artist,Song Title
1,Usher feat. Lil Jon and Ludacris,Yeah!
2,Usher,Burn
3,Alicia Keys,If I Ain't Got You
4,Maroon 5,This Love
5,OutKast feat. Sleepy Brown,The Way You Move
6,Hoobastank,The Reason
7,Mario Winans feat. Enya and P. Diddy,I Don't Wanna Know
8,OutKast,Hey Ya!
9,Ciara feat. Petey Pablo,Goodies
10,Terror Squad,Lean Back
11,J-Kwon,Tipsy
12,Usher,Confessions Part II
13,Juvenile feat. Soulja Slim,Slow Motion
14,Petey Pablo,Freek-a-Leek
15,3 Doors Down,Here Without You
16,Twista feat. Kanye West and Jamie Foxx,Slow Jamz
17,Nickelback,Someday
18,Beyonce,Naughty Girl
19,Evanescence,My Immortal
20,Lil' Flip feat. Lea,Sunshine
21,Jay-Z,Dirt Off Your Shoulder
22,Nina Sky feat. Jabba,Move Ya Body
23,Christina Milian,Dip It Low
24,Usher And Alicia Keys,My Boo
25,Chingy feat. J. Weav,One Call Away
26,Beyonce,"Me, Myself, and I"
27,Kevin Lyttle feat. Spragga Benz,Turn Me On
28,Sheryl Crow,The First Cut Is The Deepest
29,Alicia Keys,You Don't Know My Name
30,Nelly feat. Jaheim,My Place
31,Twista,Overnight Celebrity
32,Cassidy feat. R. Kelly,Hotel
33,Linkin Park,Numb
34,Alicia Keys feat. Tony! Toni! Tone!,Diary
35,Maroon 5,She Will be Loved
36,Dido,White Flag
37,Los Lonely Boys,Heaven
38,No Doubt,It's My Life
39,Ashlee Simpson,Pieces of Me
40,JoJo,Leave (Get Out)
41,Kelis,Milkshake
42,Ludacris,Splash Waterfalls
43,Kanye West,Jesus Walks
44,Akon feat. Styles P.,Locked Up
45,Ludacris feat. Shawnna,Stand Up
46,Baby Bash feat. Frankie J,Suga Suga
47,Kanye West feat. Syleena Johnson,All Falls Down
48,Britney Spears,Toxic
49,Ying Yang Twins feat. Lil Jon and The East Side Boyz,Salt Shaker
50,Jessica Simpson,With You
51,Switchfoot,Meant to Live
52,"Houston feat. Chingy, Nate Dogg and I-20",I Like That
53,Ruben Studdard,Sorry 2004
54,Avril Lavigne,My Happy Ending
55,Lloyd Banks,On Fire
56,OutKast,Roses
57,Jagged Edge,Walker outta Heaven
58,Destiny's Child,Lose My Breath
59,D12,My Band
60,Sean Paul feat. Sasha,I'm Still in Love with You
61,Kanye West,Through the Wire
62,Jadakiss feat. Anthony Hamilton,Why?
63,Eamon,F**k It (I Don't Want you Back)
64,Avant,Read your Mind
65,Lil' Flip,Game Over (Flip)
66,Finger Eleven,One Thing
67,LL Cool J,Headsprung
68,YoungBloodZ feat. Lil Jon,Damn!
69,Beyonce feat. Sean Paul,Baby Boy
70,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low
71,Snoop Dogg feat. Pharrell,Drop it Like it's Hot
72,Monica,U Should've Known Better
73,Ryan Cabrera,On the Way Down
74,Kelly Clarkson,Breakaway
75,Santana feat. Alex Band Or Chad Kroeger,Why Don't You and I
76,Jet,Are You Gonna Be My Girl
77,Five For Fighting,100 Years
78,R. Kelly,Step In The Name Of Love
79,Linkin Park,Breaking the Habit
80,Nick Cannon feat. R. Kelly,Gigolo
81,Tim McGraw,Live Like You Were Dying
82,Alan Jackson,Remember When
83,Britney Spears,Everytime
84,Lloyd feat. Ashanti,Southside
85,Beenie Man feat. Ms. Thing,Dude
86,G-Unit feat. Joe,Wanna Get To Know You
87,Chingy feat. Ludacris and Snoop Dogg,Holidae In
88,Black Eyed Peas,Let's Get It Started
89,Kenny Chesney and Uncle Kracker,When the Sun Goes Down
90,Toby Keith,American Soldier
91,Jay-Z,Change Clothes
92,Avril Lavigne,Don't Tell Me
93,Keith Urban,You'll Think of Me
94,R. Kelly,Happy People
95,Black Eyed Peas,Hey Mama
96,Nelly feat. Tim McGraw,Over and Over
97,Gretchen Wilson,Redneck Woman
98,Eminem,Just Lose It
99,John Michael Montgomery,Letters from Home
100,Kenny Chesney,I Go Back
