Position ,Artist,Song Title
1,Police,Every Breath You Take
2,Michael Jackson,Billie Jean
3,Irene Cara,Flashdance... What A Feeling
4,Men At Work,Down Under
5,Michael Jackson,Beat It
6,Bonnie Tyler,Total Eclipse Of The Heart
7,Daryl Hall and John Oates,Maneater
8,Patti Austin and James Ingram,Baby Come To Me
9,Michael Sembello,Maniac
10,Eurythmics,Sweet Dreams (Are Made Of This)
11,Culture Club,Do You Really Want To Hurt Me
12,Eddie Rabbitt and Crystal Gayle,You And I
13,Dexy's Midnight Runners,Come On Eileen
14,Bob Seger and The Silver Bullet Band,Shame On The Moon
15,Donna Summer,She Works Hard For The Money
16,Sergio Mendes,Never Gonna Let You Go
17,Duran Duran,Hungry Like The Wolf
18,David Bowie,Let's Dance
19,Golden Earring,Twilight Zone
20,Frida,I Know There's Something Going On
21,Greg Kihn Band,Jeopardy
22,Eddy Grant,Electric Avenue
23,Thomas Dolby,She Blinded Me With Science
24,Toto,Africa
25,Prince,Little Red Corvette
26,Pretenders,Back On The Chain Gang
27,Joe Cocker and Jennifer Warnes,Up Where We Belong
28,Styx,Mr. Roboto
29,Lionel Richie,You Are
30,After The Fire,Der Kommissar
31,Taco,Puttin' On The Ritz
32,Marvin Gaye,Sexual Healing
33,Human League,(Keep Feeling) Fascination
34,Culture Club,Time (Clock Of The Heart)
35,Men Without Hats,The Safety Dance
36,Toni Basil,Mickey
37,Phil Collins,You Can't Hurry Love
38,Journey,Separate Ways
39,Daryl Hall and John Oates,One On One
40,Kenny Rogers and Sheena Easton,We've Got Tonight
41,Prince,1999
42,Stray Cats,Stray Cat Strut
43,Billy Joel,Allentown
44,Stevie Nicks,Stand Back
45,Billy Joel,Tell Her About It
46,Naked Eyes,Always Somethmg There To Remind Me
47,Lionel Richie,Truly
48,Don Henley,Dirty Laundry
49,Michael Jackson and Paul McCartney,The Girl Is Mine
50,Kajagoogoo,Too Shy
51,Adam Ant,Goody Two Shoes
52,Clash,Rock The Casbah
53,Madness,Our House
54,Men At Work,Overkill
55,Duran Duran,Is There Something I Should Know
56,Laura Branigan,Gloria
57,Rick Springfield,Affair Of The Heart
58,Tubes,She's A Beauty
59,Laura Branigan,Solitaire
60,Styx,Don't Let It End
61,Laura Branigan,How Am I Supposed To Live Without You
62,David Bowie,China Girl
63,Kinks,Come Dancing
64,Naked Eyes,"Promises, Promises"
65,Little River Band,The Other Guy
66,Air Supply,Making Love Out Of Nothing At All
67,Daryl Hall and John Oates,Family Man
68,Michael Jackson,Wanna Be Startin' Somethin'
69,Toto,I Won't Hold You Back
70,Christopher Cross,All Right
71,Bryan Adams,Straight From The Heart
72,Kenny Loggins,Heart To Heart
73,Lionel Richie,My Love
74,Elton John,I'm Still Standing
75,Loverboy,Hot Girls In Love
76,Men At Work,It's A Mistake
77,Culture Club,I'll Tumble 4 Ya
78,Debarge,All This Love
79,Sammy Hagar,Your Love Is Driving Me Crazy
80,Dionne Warwick,Heartbreaker
81,Journey,Faithfully
82,Joe Jackson,Steppin' Out
83,Quarterflash,Take Me To Heart
84,Stray Cats,(She's) Sexy + 17
85,Champaign,Try Again
86,Shalamar,Dead Giveaway
87,Jackson Browne,Lawyers In Love
88,Moving Pictures,What About Me
89,Michael Jackson,Human Nature
90,Def Leppard,Photograph
91,Musical Youth,Pass The Dutchie
92,Spandau Ballet,TRUE
93,Frank Stallone,Far From Over
94,Eric Clapton,I've Got A Rock 'N' Roll Heart
95,Stephen Bishop,It Might Be You
96,Peabo Bryson and Roberta Flack,Tonight I Celebrate My Love
97,Tom Petty and The Heartbreakers,You Got Lucky
98,Asia,Don't Cry
99,Joe Jackson,Breaking Us In Two
100,"Earth, Wind and Fire",Fall In Love With Me
