Position,Artist,Song Title
1,Barbra Streisand,The Way We Were
2,Terry Jacks,Seasons In The Sun
3,Love Unlimited Orchestra,Love's Theme
4,Redbone,Come And Get Your Love
5,Jackson 5,Dancing Machine
6,Grand Funk Railroad,The Loco-Motion
7,MFSB,TSOP
8,Ray Stevens,The Streak
9,Elton John,Bennie And The Jets
10,Mac Davis,One Hell Of A Woman
11,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do)
12,Kool and The Gang,Jungle Boogie
13,Maria Muldaur,Midnight At The Oasis
14,Stylistics,You Make Me Feel Brand New
15,Al Wilson,Show And Tell
16,Jim Stafford,Spiders And Snakes
17,David Essex,Rock On
18,John Denver,Sunshine On My Shoulders
19,Blue Magic,Sideshow
20,Blue Swede,Hooked On A Feeling
21,Bo Donaldson and The Heywoods,Billy Don't Be A Hero
22,Paul McCartney and Wings,Band On The Run
23,Charlie Rich,The Most Beautiful Girl
24,Jim Croce,Time In A Bottle
25,John Denver,Annie's Song
26,Paul Anka,(You're) Having My Baby
27,Olivia Newton-John,Let Me Be There
28,Gordon Lightfoot,Sundown
29,Andy Kim,Rock Me Gently
30,Eddie Kendricks,Boogie Down
31,Ringo Starr,You're Sixteen
32,Olivia Newton-John,If You Love Me (Let Me Know)
33,Cher,Dark Lady
34,Gladys Knight and The Pips,Best Thing That Ever Happened To Me
35,Roberta Flack,Feel Like Makin' Love
36,Main Ingredient,Just Don't Want To Be Lonely
37,Billy Preston,Nothing From Nothing
38,George McCrae,Rock Your Baby
39,Carpenters,Top Of The World
40,Steve Miller Band,The Joker
41,Gladys Knight and The Pips,I've Got To Use My Imagination
42,Three Dog Night,The Show Must Go On
43,Hues Corporation,Rock The Boat
44,Brownsville Station,Smokin' In The Boy's Room
45,Stevie Wonder,Living For The City
46,Dionne Warwick and The Spinners,Then Came You
47,Paper Lace,The Night Chicago Died
48,Marvin Hamlisch,The Entertainer
49,ABBA,Waterloo
50,Hollies,The Air That I Breathe
51,Steely Dan,Rikki Don't Lose That Number
52,Carly Simon,Mockingbird
53,Joni Mitchell,Help Me
54,Anne Murray,You Won't See Me
55,Barry White,"Never, Never Gonna Give You Up"
56,Rufus,Tell Me Something Good
57,Helen Reddy,You And Me Against The World
58,Righteous Brothers,Rock And Roll Heaven
59,Kool and The Gang,Hollywood Swinging
60,William Devaughn,Be Thankful For What You Got
61,Johnny Bristol,Hang On In There Baby
62,Mocedades,Eres Tu (Touch The Wind)
63,Bachman-Turner Overdrive,Takin' Care Of Business
64,Golden Earring,Radar Love
65,Dave Loggins,Please Come To Boston
66,Wet Willie,Keep On Smilin'
67,Bobby Womack,Lookin' For A Love
68,O'Jays,Put Your Hands Together
69,Gladys Knight and The Pips,On And On
70,Cat Stevens,Oh Very Young
71,Helen Reddy,Leave Me Alone (Ruby Red Dress)
72,Chicago,(I've Been) Searchin' So Long
73,Elton John,Goodbye Yellow Brick Road
74,Ringo Starr,Oh My My
75,O'Jays,For The Love Of Money
76,Eric Clapton,I Shot The Sheriff
77,Paul McCartney and Wings,Jet
78,Elton John,Don't Let The Sun Go Down On Me
79,Mike Oldfield,Tubular Bells
80,Anne Murray,A Love Song
81,Donny and Marie Osmond,I'm Leaving It All Up To You
82,Todd Rundgren,"Hello, It's Me"
83,Tom T. Hall,I Love
84,Guess Who,Clap For The Wolfman
85,Jim Croce,I'll Have To Say I Love You In A Song
86,Sister Janet Mead,The Lord's Prayer
87,Lamont Dozier,Trying To Hold On To My Woman
88,Stevie Wonder,Don't You Worry 'Bout A Thing
89,Charlie Rich,A Very Special Love Song
90,Jim Stafford,My Girl Bill
91,Diana Ross and Marvin Gaye,My Mistake Was To Love You
92,Paul McCartney and Wings,Helen Wheels
93,Jim Stafford,Wildwood Weed
94,First Class,Beach Baby
95,War,Me And Baby Brother
96,Stylistics,Rockin' Roll Baby
97,Olivia Newton-John,I Honestly Love You
98,Chicago,Call On Me
99,Fancy,Wild Thing
100,Spinners,"Mighty Love, Pt. 1"
