Position,Artist,Song Title
1,Jimmy Gilmer and The Fireballs,Sugar Shack
2,Beach Boys,Surfin' U.S.A.
3,Skeeter Davis,The End Of The World
4,Cascades,Rhythm Of The Rain
5,Chiffons,He's So Fine
6,Bobby Vinton,Blue Velvet
7,Paul and Paula,Hey Paula
8,Little Stevie Wonder,Fingertips II
9,Village Stompers,Washington Square
10,Impressions,It's All Right
11,Andy Williams,Can't Get Used To Losing You
12,Angels,My Boyfriend's Back
13,Kyu Sakamoto,Sukiyaki
14,Lesley Gore,She's A Fool
15,Tymes,So Much In Love
16,"Peter, Paul and Mary",Puff (The Magic Dragon)
17,"Peter, Paul and Mary",Blowin' In The Wind
18,Dale and Grace,I'm Leaving It Up To You
19,Nino Tempo and April Stevens,Deep Purple
20,Surfaris,Wipe Out
21,Al Martino,I Love You Because
22,Rebels,Wild Weekend
23,Bobby Darin,You're The Reason I'm Living
24,Four Seasons,Walk Like A Man
25,Inez Foxx,Mockingbird
26,Little Peggy March,I Will Follow Him
27,Chantays,Pipeline
28,Jan and Dean,Surf City
29,Lesley Gore,It's My Party
30,Eydie Gorme,Blame It On The Bossa Nova
31,Dovells,You Can't Sit Down
32,Martha and The Vandellas,Heat Wave
33,Randy and The Rainbows,Denise
34,Rooftop Singers,Walk Right In
35,Jimmy Soul,If You Wanna Be Happy
36,Beach Boys,Surfer Girl
37,Trini Lopez,If I Had A Hammer
38,Tommy Roe,Everybody
39,Essex,Easier Said Than Done
40,Dion,Ruby Baby
41,Los Indios Tabajaras,Maria Elena
42,Ruby and The Romantics,Our Day Will Come
43,Skeeter Davis,I Can't Stay Mad At You
44,Barbara Lewis,"Hello, Stranger"
45,Ronettes,Be My Baby
46,Roy Orbison,Mean Woman Blues
47,Orlons,South Street
48,Henry Mancini,Days Of Wine And Roses
49,Major Lance,The Monkey Time
50,Four Seasons,Candy Girl
51,Bill Anderson,Still
52,Bobby Vinton,Blue On Blue
53,Garnet Mimms and The Enchanters,Cry Baby
54,Lou Christie,Two Faces Have I
55,Ray Charles,Busted
56,Crystals,Da Doo Ron Ron
57,Shirelles,Foolish Little Girl
58,Lonnie Mack,Memphis
59,Roy Orbison,In Dreams
60,Kai Winding,More
61,Rick Nelson,Fools Rush In
62,Brenda Lee,Losing You
63,Bill Pursell,Our Winter Love
64,Tony Bennett,I Wanna Be Around
65,Miracles,You've Really Got A Hold On Me
66,Jaynetts,Sally Go 'Round The Roses
67,Sam Cooke,Little Red Rooster
68,Crystals,Then He Kissed Me
69,Elvis Presley,(You're The) Devil In Disguise
70,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer
71,Jackie Wilson,Baby Workout
72,Marvin Gaye,Pride And Joy
73,Rufus Thomas,Walking The Dog
74,Ned Miller,From A Jack To A King
75,Drifters,Up On The Roof
76,Johnny Mathis,What Will My Mary Say
77,Jan Bradley,Mama Didn't Lie
78,Bobby Vee,The Night Has A Thousand Eyes
79,Cookies,Don't Say Nothin' Bad About My Baby
80,Johnny Cash,Ring Of Fire
81,Doris Troy,Just One Look
82,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)"
83,Lesley Gore,Judy's Turn To Cry
84,Rolf Harris,"Tie Me Kangaroo Down, Sport"
85,Miracles,Mickey's Monkey
86,Dion,"Donna, The Prima Donna"
87,Nat King Cole,"That Sunday, That Summer"
88,Sam Cooke,Another Saturday Night
89,Al Martino,"Painted, Tainted Rose"
90,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe's
91,Steve Lawrence,Go Away Little Girl
92,Ray Charles,Take These Chains From My Heart
93,Sunny and The Sunglows,Talk To Me
94,Martha and The Vandellas,Come And Get These Memories
95,Elvis Presley,Bossa Nova Baby
96,Dee Dee Sharp,Do The Bird
97,Beach Boys,Shut Down
98,Chiffons,One Fine Day
99,Bobby Bare,500 Miles Away From Home
100,Del Shannon,Little Town Flirt
