Position ,Artist,Song Title
1,Lulu,To Sir With Love
2,Box Tops,The Letter
3,Bobby Gentry,Ode To Billie Joe
4,Association,Windy
5,Monkees,I'm A Believer
6,Doors,Light My Fire
7,Nancy Sinatra and Frank Sinatra,Somethin' Stupid
8,Turtles,Happy Together
9,Young Rascals,Groovin'
10,Frankie Valli,Can't Take My Eyes Off You
11,Music Explosion,Little Bit O' Soul
12,Tommy James and The Shondells,I Think We're Alone Now
13,Aretha Franklin,Respect
14,Stevie Wonder,I Was Made To Love Her
15,Bobby Vee and The Strangers,Come Back When You Grow Up
16,Buckinghams,Kind Of A Drag
17,Arthur Conley,Sweet Soul Music
18,Soul Survivors,Expressway To Your Heart
19,Sam and Dave,Soul Man
20,Association,Never My Love
21,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie"
22,Every Mothers' Son,Come On Down To My Boat
23,Strawberry Alarm Clock,Incense And Peppermints
24,Rolling Stones,Ruby Tuesday
25,Vicki Carr,It Must Be Him
26,Brenton Wood,Gimme Little Sign
27,Buffalo Springfield,For What It's Worth
28,Supremes,Love Is Here And Now You're Gone
29,Supremes,The Happening
30,Beatles,All You Need Is Love
31,Engelbert Humperdinck,Release Me (And Let Me Love Again)
32,Marvin Gaye and Tammi Terrell,Your Precious Love
33,Jefferson Airplane,Somebody To Love
34,Esquires,Get On Up
35,Van Morrison,Brown Eyed Girl
36,Martha and The Vandella,Jimmy Mack
37,Happenings,I Got Rhythm
38,Procol Harum,A Whiter Shade Of Pale
39,Buckinghams,Don't You Care
40,Casinos,Then You Can Tell Me Goodbye
41,Diana Ross and The Supremes,Reflections
42,Hollies,On A Carousel
43,Bobby Vinton,Please Love Me Forever
44,Dionne Warwick,Alfie
45,Tremeloes,Silence Is Golden
46,Ed Ames,My Cup Runneth Over
47,Fifth Dimension,"Up, Up And Away"
48,Scott Mckenzie,San Francisco
49,Cowsills,"The Rain, The Park And Other Things"
50,Herman's Hermits,There's A Kind Of Hush
51,Buckinghams,"Mercy, Mercy, Mercy"
52,Petula Clark,This Is My Song
53,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher
54,Young Rascals,I've Been Lonely Too Long
55,Beatles,Penny Lane
56,Temptations,You're My Everything
57,Seekers,Georgy Girl
58,Five Americans,Western Union
59,Aretha Franklin,Baby I Love You
60,Monkees,"A Little Bit You, A Little Bit Me"
61,Lesley Gore,California Nights
62,Mama's and The Papa's,Dedicated To The One I Love
63,Young Rascals,How Can I Be Sure
64,Hollies,Carrie Ann
65,Blue Magoos,(We Ain't Got) Nothin' Yet
66,Easy Beats,Friday On My Mind
67,Bar-Kays,Soul Finger
68,Spencer Davis Group,Gimme Some Lovin'
69,Hombres,Let It Out (Let It All Hang Out)
70,Grass Roots,Let's Live For Today
71,Peaches and Herb,Close Your Eyes
72,Booker T and The MG's,Groovin'
73,Wilson Pickett,Funky Broadway
74,Monkees,Pleasant Valley Sunday
75,Aretha Franklin,I Never Loved A Man (The Way I Love You)
76,Aaron Neville,Tell It Like It Is
77,James Brown and The Famous Flames,Cold Sweat
78,Turtles,She'd Rather Be With Me
79,Keith,98.6
80,Ray Charles,Here We Go Again
81,Jefferson Airplane,White Rabbit
82,Four Tops,Bernadette
83,Sonny and Cher,The Beat Goes On
84,Royal Guardsmen,Snoopy Vs. The Red Baron
85,Janis Ian,Society's Child
86,Neil Diamond,"Girl, You'll Be A Woman Soon"
87,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough
88,Sandy Posey,I Take It Back
89,Tremeloes,Here Comes My Baby
90,Robert Knight,Everlasting Love
91,"Peter, Paul and Mary",I Dig Rock And Roll Music
92,Bill Cosby,Little Ole Man (Uptight-Everything's Alright)
93,Electric Prunes,I Had Too Much To Dream Last Night
94,Monkees,Daydream Believer
95,Johnny Rivers,Baby I Need Your Lovin'
96,Who,I Can See For Miles
97,Tommy James and The Shondells,Mirage
98,Tom Jones,"Green, Green Grass Of Home"
99,Petula Clark,Don't Sleep In The Subway
100,Neil Diamond,Thank The Lord For The Night Time
