Position,Artist,Song Title
1,Leroy Anderson,Blue Tango
2,Kay Starr,Wheel Of Fortune
3,Johnnie Ray,Cry
4,Jo Stafford,You Belong To Me
5,Vera Lynn,"Auf Wiederseh'n, Sweetheart"
6,Rosemary Clooney,Half As Much
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here
8,Patti Page,I Went To Your Wedding
9,Al Martino,Here In My Heart
10,Percy Faith,Delicado
11,Georgia Gibbs,Kiss Of Fire
12,Eddie Fisher and Hugo Winterhalter,Anytime
13,Four Aces,Tell Me Why
14,Ella Mae Morse,Blacksmith Blues
15,Jo Stafford,Jambalaya
16,Rosemary Clooney,Botch-a-me
17,Doris Day,A Guy Is A Guy
18,Johnnie Ray,The Little White Cloud That Cried
19,Frankie Laine,High Noon
20,Eddie Fisher and Hugo Winterhalter,I'm Yours
21,Mills Brothers,Glow Worm
22,Johnny Standley,It's In The Book
23,Pee Wee King,Slow Poke
24,Johnnie Ray,Walkin' My Baby Back Home
25,Les Paul,Meet Mr. Callaghan
26,Don Cornell,I'm Yours
27,Don Cornell,I'll Walk Alone
28,Eddie Fisher and Hugo Winterhalter,Tell Me Why
29,Hilltoppers,Trying
30,Johnnie Ray,"Please, Mr. Sun"
