Position ,Artist,Song Title
1,Nickelback,How You Remind Me
2,Ashanti,Foolish
3,Nelly,Hot in Herre
4,Nelly feat. Kelly Rowland,Dilemma
5,Calling,Wherever You Will Go
6,Vanessa Carlton,A Thousand Miles
7,Linkin Park,In the End
8,Fat Joe feat. Ashanti,What's Luv?
9,Usher,U Got it Bad
10,Puddle Of Mudd,Blurry
11,Avril Lavigne,Complicated
12,Ja Rule feat. Ashanti,Always on Time
13,Jennifer Lopez feat. Ja Rule,Ain't it Funny
14,Jimmy Eat World,The Middle
15,P. Diddy feat. Usher and Loon,I Need a Girl (Part One)
16,Usher,U Don't have to Call
17,Mary J. Blige,Family Affair
18,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two)
19,Eve feat. Alicia Keys,Gangsta Lovin'
20,Creed,My Sacrifice
21,Eminem,Without Me
22,Enrique Iglesias,Hero
23,Michelle Branch,All You Wanted
24,Pink,Get the Party Started
25,Chad Kroeger feat. Josey Scott,Hero
26,Default,Wasting My Time
27,Creed,One Last Breath
28,Shakira,"Whenever, Wherever"
29,Jennifer Lopez feat. Nas,I'm Gonna Be Alright
30,Cam'ron feat. Juelz Santana,Oh Boy
31,DJ Sammy and Yanou feat. Do,Heaven
32,No Doubt feat. Bounty Killer,Hey Baby
33,'N Sync feat. Nelly,Girlfriend
34,Mario,Just a Friend 2002
35,Sheryl Crow,Soak up the Sun
36,Pink,Don't Let Me Get Me
37,N.O.R.E.,Nothin'
38,Tweet,Oops (Oh My)
39,Kelly Clarkson,A Moment Like This
40,Truth Hurts feat. Rakim,Addictive
41,Ashanti,Happy
42,John Mayer,No Such Thing
43,Pink,Just Like a Pill
44,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U
45,Kylie Minogue,Can't Get You Out Of My Head
46,Five For Fighting,Superman (It's not Easy)
47,Eminem,Cleanin' out my Closet
48,Musiq,Halfcrazy
49,Mr. Cheeks,"Lights, Camera, Action!"
50,Big Tymers,Still Fly
51,Alicia Keys,A Woman's Worth
52,Craig David,7 Days
53,"Cam'ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma
54,"Missy ""Misdemeanor"" Elliott",Work It
55,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch
56,LeAnn Rimes,Can't Fight the Moonlight
57,Enrique Iglesias,Escape
58,Aaliyah,More than a Woman
59,No Doubt,Hello Good
60,Faith Evans,I Love You
61,Daniel Bedingfield,Gotta Get Thru This
62,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II
63,Eminem,Lose Yourself
64,Michael Jackson,Butterflies
65,Brandy,What About Us?
66,Shakira,Underneath your Clothes
67,Mary J. Blige feat. Ja Rule,Rainy Dayz
68,Ginuwine,Differences
69,Angie Martinez feat. Lil' Mo and Sacario,If I could Go!
70,OutKast feat. Killer Mike,The Whole World
71,No Doubt feat. Lady Saw,Underneath it All
72,City High feat. Eve,Caramel
73,LL Cool J,Luv U Better
74,Sean Paul,Gimme the Light
75,'N Sync,Gone
76,Ja Rule feat. Case,Livin' it Up
77,Ludacris,Roll Out (My Business)
78,Goo Goo Dolls,Here is Gone
79,Mary J. Blige,No More Drama
80,Dirty Vegas,Days go By
81,Ashanti,Baby
82,Kenny Chesney,The Good Stuff
83,Fat Joe feat. R. Kelly,We Thuggin'
84,Steve Holy,Good Morning Beautiful
85,Aaliyah,Rock the Boat
86,Alan Jackson,Drive (For Daddy Gene)
87,Jewel,Standing Still
88,Jaheim feat. Next,Anything
89,Brandy,Full Moon
90,B2K,Uh Huh
91,Celine Dion,A New Day has Come
92,Nelly Furtado,Turn Off the Light
93,George Strait,Living and Living Well
94,Toby Keith,My List
95,Alanis Morissette,Hands Clean
96,Avril Lavigne,Sk8er Boi
97,Dixie Chicks,Long Time Gone
98,Alan Jackson,Where Were You (When the World Stopped Turning)
99,Justin Timberlake,Like I Love You
100,Toya,I Do!!
